groupe,nom,interventions
LREM,Cédric Roussel,""" Il propose une rédaction plus large de l'alinéa 5, afin que la somme débloquée se situe dans la limite de la valeur du transfert du contrat.Je vois d'un très bon oeil la possibilité de déblocage offerte pour les contrats Madelin, mais j'aurais souhaité qu'on l'étende aux avances, cette forme de prêt répondant aux problèmes ponctuels de trésorerie. Cela ne détériorerait pas l'orientation des contrats Madelin, à savoir une épargne de long terme, dite différée. Voilà mon petit regret du soir ! Je suis favorable à l'article, même si je demande l'élargissement du plafond de retrait. "", "" Comme cela a été dit, la crise a fortement touché les clubs sportifs amateurs. D'après une étude réalisée conjointement par la Centrale du sport et Sport et citoyenneté, l'annulation des événements printaniers et estivaux a entraîné une perte moyenne de 6 800 euros par club, tandis que la réduction attendue de leurs ressources de sponsoring et de mécénat les place dans une situation financière préoccupante. Il existe 360 000 associations sportives, soit 24 % des associations françaises, qui représentent 115 000 emplois. Pour sécuriser la reprise de l'activité des clubs, il est vital que le nombre de licenciés s'inscrivant à la rentrée sportive ne baisse pas, je le dis à mon tour.Le développement de la pratique sportive fait partie intégrante des missions de l'Agence nationale du sport, que nous avons créée. Nous devons lui permettre d'accompagner de manière exceptionnelle la rentrée sportive et d'encourager avec encore plus de force la pratique du sport pour tous dans la durée. L'année dernière, du fait de son plafonnement, seules 30 % des recettes générées par la taxe sur les paris sportifs, fléchée vers le financement de l'ANS, ont véritablement bénéficié au sport.L'amendement no 2266  vise à accroître ce plafond de 20 millions d'euros en le faisant passer de 34,6 millions à 54,6 millions. À quatre ans des Jeux olympiques, notre pays se doit d'afficher une véritable ambition pour le sport. Donnons-nous les moyens de nos ambitions pour que le sport et ses valeurs irriguent la société et soient un élément constitutif du nouveau pacte social du monde d'après.J'en viens à l'amendement no 2305 , déposé à l'initiative de mon collègue François Cormier-Bouligeon.La crise sanitaire a mis en lumière l'urgence pour la France de se doter d'une stratégie ambitieuse de sport santé avec des moyens renforcés car elle a démontré la fragilité des personnes atteintes de maladies chroniques et d'obésité face à la covid-19.La stratégie nationale sport santé 2019-2024 est actuellement financée à hauteur de 11,5 millions d'euros pour l'année 2020. Le dispositif des maisons sport santé vise à lutter contre l'accroissement de la sédentarité, l'inactivité physique et l'ensemble des pathologies chroniques. Le coût de la sédentarité s'élève à lui seul à 17 milliards d'euros. Pour l'heure, 138 maisons sport santé ont été labellisées sur le territoire français. Un nouvel appel à projets a été lancé le 2 mai 2020 afin de poursuivre le processus de labellisation, lequel doit être accompagné de ressources financières complémentaires.L'amendement tend donc à augmenter de 25 millions d'euros le plafond de la taxe Buffet affectée à l'Agence nationale du sport. Pour 2020, ces 25 millions serviront à abonder la ligne budgétaire destinée à financer les 250 premières maisons sport santé, à hauteur de 100 000 chacune, pour créer une dynamique propre à atteindre l'objectif gouvernemental. La stratégie nationale sport santé est un investissement essentiel pour la santé des Français, et la politique de sport santé doit être une politique ambitieuse, accompagnée de moyens financiers importants, au bénéfice de tous. L'assurance maladie doit changer de paradigme et devenir une véritable assurance santé. "", "" Monsieur le rapporteur général, je suis tout à fait ouvert à une stratégie budgétaire globale. Le mouvement sportif a d'ailleurs reconnu qu'un soutien conjoncturel a été apporté, notamment avec le fonds de solidarité. Mais nous parlons là du sport à l'horizon des Jeux olympiques 2024.Je retire l'amendement no 2266  pour mieux me pencher sur cette stratégie budgétaire globale, incluant, outre les futurs PLF et le PLFSS, le plan de relance construit par Bruno Le Maire. "", ' Et là, vous nous avez fait perdre combien de temps ? '"
LREM,Nadia Hai,"' Excellent ! ', ' Non, cela fait deux ans. ', "" J'espère bien ! "", ' Ah ! ', "" Tout à fait ! C'est l'intérêt des crédits budgétaires ! "", ' Voilà ! ', ' Exactement ! ', ' Exactement ! ', "" C'est vrai qu'il y a beaucoup de maires dans cet hémicycle ! "", "" Ce n'est si compliqué ! "", "" Cette mesure n'est pas complexe, monsieur le président Woerth ; d'ailleurs, de tels dispositifs existent déjà pour les successions des contrats d'assurance vie et d'épargne retraite. "", "" Il est possible et facile d'établir des plafonds de défiscalisation.Mme Gregoire a proposé de fixer le plafond de retrait ou de rachat à 8 000 euros : c'est un bon compromis, car l'épargne retraite est une épargne de long terme, donc exposée aux risques du marché. Comme le marché des actions s'est écroulé, la protection des épargnants commande de conserver des plafonds de retrait et de refuser les rachats illimités de l'épargne retraite. "", ' Oui ! ', ' Eh oui ! ', ' Oui ! ', "" C'est vrai ! "", ' Ah ! ', "" On n'est pas en commission ! """
LREM,Guillaume Vuilletet,""" La tentation qui nous guette depuis un certain temps, c'est de convoquer devant cette assemblée ou devant le Sénat le virus, qui continue à rendre malade et à tuer, pour lui ordonner d'arrêter, parce que nous aurions décidé de mettre fin à l'état d'urgence et que nous voudrions pouvoir décréter que la situation est normale.Cette tentation, nos débats l'ont illustrée. Et puis, ils ont évolué, parce que nous sommes bien obligés de constater que, tous les jours, de nouveaux clusters apparaissent et de nouveaux malades sont diagnostiqués, et que la situation n'est pas stabilisée dans le reste du monde.C'est pourquoi la majorité a décidé de bâtir un système permettant de sortir progressivement de l'état d'urgence. Je regrette profondément que nous ne soyons pas parvenus à un consensus autour du dispositif proposé, alors que celui-ci est très temporaire, puisqu'il prend fin le 30 octobre, comme nous l'avons décidé au cours de nos travaux.Examinons les arguments de ceux qui s'opposent à ce texte. Certains considèrent qu'il donnerait au Gouvernement des pouvoirs exorbitants, … "", "" … mais les mêmes appellent à recourir à la loi du 23 mars 2020, laquelle accorde pourtant au Premier ministre des prérogatives autrement plus étendues. Par exemple, aux termes de son article 2, elle l'autorise à « ordonner la réquisition de tous biens et services nécessaires », quand bien même il s'agirait de faire face à une simple menace sanitaire. Dans le présent texte, il n'y a que quatre critères, dont un qui ne concerne que les outre-mer… Il faut avoir un peu de mesure – à moins que l'on ne vise un autre objectif que celui de sortir le pays de la situation de crise.Certains demandent que l'on recoure plutôt à l'article L. 3131-1 du code de la santé publique, qui permettrait, selon eux, de tout faire. Je remarque toutefois que le Sénat a proposé de réécrire cet article, parce qu'il n'était pas tout à fait adapté à la situation que nous vivons. Il est ainsi censé répondre à une situation sanitaire exceptionnelle. Or la situation, nous la connaissons ; nous savons désormais ce qui peut nous arriver et vers quoi nous allons. Il serait par conséquent difficile d'en référer à une situation exceptionnelle.Quoi qu'il en soit, le problème n'est pas là – et c'est bien ce que je reproche aux oppositions. Elles voudraient reprendre les vieilles ficelles politiques, en accusant le Gouvernement de tous les maux, en criant au complot et en ne prenant en compte que les mesures de restriction des libertés, alors que notre seul objectif est de parvenir à juguler l'épidémie. Certes, la situation s'est améliorée, mais entre « ça va mieux » et « la pandémie est arrêtée », il y a une différence – et c'est cette différence qui se trouve au coeur de notre travail.Nous avons effectué un travail important avec le Sénat. Il serait inexact de dire que les discussions en CMP ont achoppé sur des considérations générales. Le désaccord portait sur une question très simple : quel doit être le périmètre des mesures exceptionnelles décidées par le préfet en cas d'apparition d'un cluster ? L'Assemblée considérait que le cadre normal d'action du préfet est le département ; le Sénat préférait que les arrêtés soient pris commune par commune, ce qui semble pourtant compliqué quand les départements en comptent des centaines. Même si notre rapporteure a beaucoup oeuvré pour essayer de rapprocher les points de vue, cela n'a pas été possible – et ce n'est pas si grave.L'échec de la CMP envoie en tout cas un message bien particulier à nos concitoyens : nous ne menons plus la lutte contre l'épidémie tous ensemble, et nous retrouvons les chicayas de partis politiques et les désaccords entre majorité et opposition. C'est dommage.Le président de la commission des lois du Sénat, Philippe Bas – pour lequel j'ai beaucoup d'estime – , a déclaré : « Pour beaucoup de nos concitoyens, l'état d'urgence sanitaire est devenu synonyme de confinement ». Croyez-vous vraiment que, si jamais quelques nouveaux clusters apparaissent, qui nécessiteraient une action très spécifique et localisée, il faille préparer les Français à un nouveau confinement ? Notre pays a besoin d'une reprise de l'activité et d'une relance économique. Faudrait-il, à l'apparition du moindre cluster, relancer cette énorme machine, alors qu'il est possible de traiter la situation avec intelligence et mesure ?Les critiques qui nous sont adressées sont marquées par le complotisme, et aussi par un paradoxe : on nous reproche de ne pas en faire assez, alors qu'un plan de relance est prévu, dont les mesures sectorielles renforceront celles déjà prises. "", "" Non, ce n'est pas pour plus tard ! "", "" Regardez ce qui a déjà été fait : pour faire face à la récession, laquelle atteindra, selon les prévisions, de 10 % à 12 % du PIB – ce qui représente un manque de 300 milliards d'euros – , nous avons d'ores et déjà mis sur la table quelque 460 milliards d'euros, avant même le plan de relance. On ne peut nous reprocher de n'avoir rien fait !Le président Bas a terminé son intervention, sous les applaudissements, en ces termes : « Le Sénat … s'efforce toujours de trouver des solutions. Mais il a sa personnalité et ses exigences. On ne lui fait pas faire ce qu'il ne veut pas faire. » De même, si l'Assemblée nationale s'efforce toujours de trouver des solutions, elle a ses exigences, et on ne lui fait pas faire ce qu'elle ne veut pas faire. Or ce soir, elle voudra, je le crois, adopter ce texte. "", "" Je ne suis pas d'accord avec celle-ci ! """
